Part No.,Footprint
M467HJHAN,MCU_LQFP176_24X24mm 
M467SJHAE,MCU_LQFP64_7X7mm
M463SJHAE,MCU_LQFP64_7X7mm
M463SIHAE,MCU_LQFP64_7X7mm
M467H3SJHAE,MCU_LQFP64_7X7mm
M463H3KJHAN,MCU_LQFP128_14X14mm
M467KJHAE,MCU_LQFP128_14X14mm
M463KJHAE,MCU_LQFP128_14X14mm
M463KIHAE,MCU_LQFP128_14X14mm
M467H3KJHAE,MCU_LQFP128_14X14mm
M467JJHAE,MCU_LQFP144_20X20mm 
M467H3JJHAN,MCU_LQFP144_20X20mm 
M467H3JJHAE,MCU_LQFP144_20X20mm 
M467HJHAE,MCU_LQFP176_24X24mm 
M467H3HJHAN,MCU_LQFP176_24X24mm 
M464YGCAE,MCU_QFN48_5X5mm
M464LGCAE,MCU_LQFP48_7X7mm
M464AGCAE,MCU_QFN64_8X8mm
M464SGCAE,MCU_LQFP64_7X7mm
M463VGCAE,MCU_LQFP100_14X14mm
M464KGCAE,MCU_LQFP128_14X14mm
M463YGCAE,MCU_QFN48_5X5mm
M463LGCAE,MCU_LQFP48_7X7mm
M463AGCAE,MCU_QFN64_8X8mm
M463SGCAE,MCU_LQFP64_7X7mm
M463KGCAE,MCU_LQFP128_14X14mm
M460YGCAE,MCU_QFN48_5X5mm
M460LGCAE,MCU_LQFP48_7X7mm
M460AGCAE,MCU_QFN64_8X8mm
M460SGCAE,MCU_LQFP64_7X7mm
M460KGCAE,MCU_LQFP128_14X14mm
M471CI8AE,MCU_WLCSP49_3X3mm
M471KI8AE,MCU_LQFP128_14X14mm
M471QI8AE,MCU_LQFP80_14X14mm
M471SI8AE,MCU_LQFP64_7X7mm 
M471VI8AE,MCU_LQFP100_14X14mm
M471LG7AE,MCU_LQFP48_7X7mm
M471QG7AE,MCU_LQFP80_14X14mm
M471SG7AE,MCU_LQFP64_7X7mm 
M471VG7AE,MCU_LQFP100_14X14mm
M479LG8AE,MCU_LQFP48_7X7mm
M479NG8AE,MCU_QFN48_7X7mm 
M479SG8AE,MCU_LQFP64_7X7mm 
M481LE8AE,MCU_LQFP48_7X7mm
M481SE8AE,MCU_LQFP64_7X7mm 
M481ZE8AE,MCU_QFN33_5X5mm
M481LGAAE,MCU_LQFP48_7X7mm
M481LGCAE,MCU_LQFP48_7X7mm
M481LIDAE,MCU_LQFP48_7X7mm
M481SGAAE,MCU_LQFP64_7X7mm 
M481SGCAE,MCU_LQFP64_7X7mm 
M481SGCAE2A,MCU_LQFP64_7X7mm 
M481SIDAE,MCU_LQFP64_7X7mm 
M481ZGAAE,MCU_QFN33_5X5mm
M481ZGCAE,MCU_QFN33_5X5mm
M481ZIDAE,MCU_QFN33_5X5mm
M482LE8AE,MCU_LQFP48_7X7mm
M482SE8AE,MCU_LQFP64_7X7mm 
M482ZE8AE,MCU_QFN33_5X5mm
M482KGAAE,MCU_LQFP128_14X14mm
M482KGCAE,MCU_LQFP128_14X14mm
M482KIDAE,MCU_LQFP128_14X14mm
M482LGAAE,MCU_LQFP48_7X7mm
M482LGCAE,MCU_LQFP48_7X7mm
M482LIDAE,MCU_LQFP48_7X7mm
M482SGAAE,MCU_LQFP64_7X7mm 
M482SGCAE,MCU_LQFP64_7X7mm 
M482SIDAE,MCU_LQFP64_7X7mm 
M482ZGCAE,MCU_QFN33_5X5mm
M482ZIDAE,MCU_QFN33_5X5mm
M483SE8AE,MCU_LQFP64_7X7mm 
M483KGCAE,MCU_LQFP128_14X14mm
M483KGCAE2A,MCU_LQFP128_14X14mm
M483KIDAE,MCU_LQFP128_14X14mm
M483SGAAE,MCU_LQFP64_7X7mm 
M483SGCAE,MCU_LQFP64_7X7mm 
M483SGCAE2A,MCU_LQFP64_7X7mm 
M483SIDAE,MCU_LQFP64_7X7mm 
M484KIDAE,MCU_LQFP128_14X14mm
M484SGAAE,MCU_LQFP64_7X7mm 
M484SGAAE2U,MCU_LQFP64_7X7mm 
M484SIDAE,MCU_LQFP64_7X7mm 
M484SIDAE2U,MCU_LQFP64_7X7mm 
M485YIDAE,MCU_QFN48_5X5mm
M485KIDAE,MCU_LQFP128_14X14mm
M485LIDAE,MCU_LQFP48_7X7mm
M485SIDAE,MCU_LQFP64_7X7mm 
M485ZIDAE,MCU_QFN33_5X5mm
M487KMCAN,MCU_LQFP128_14X14mm
M487JIDAE,MCU_LQFP144_20X20mm 
